repository_path,source_institution,dataset,version_or_period,access_date,official_url,source_terms,transformation,redistribution_status,upstream_sha256
input_data/Iodine_PublicP3A1_Australia_Incidence.csv,Australian Institute of Health and Welfare,Cancer data in Australia / Australian Cancer Database,Observed 1982-2021; CdiA 2025 Book 1a,2026-08-10,https://www.aihw.gov.au/reports/cancer/cancer-data-in-australia/data,AIHW public-download terms; most released information CC BY 4.0,Country-year C73 analytic series built from official tables,INCLUDED_WITH_ATTRIBUTION,5bde841887c8042d9053712693cd66f1def5948fea60ffca480c6e3195ce508f
input_data/Iodine_PublicP3A1_NewZealand_Incidence.csv,Health New Zealand / Te Whatu Ora,New Zealand Cancer Registry cancer web tool,Observed 2001-2023; tool version 2026-06-04,2026-08-10,https://tewhatuora.shinyapps.io/cancer-web-tool/,CC BY 4.0 stated in source tool,Country-year C73 WHO-ASIR analytic series,INCLUDED_CC_BY_4_0_WITH_ATTRIBUTION,0cfba5bb109e761fbfe18e8f735ad4210f7cd5597e2ef730ff48f0bdd514f806
input_data/Iodine_PublicP3A1_Croatia_Incidence.csv,IARC,Cancer Over Time / CI5plus,Observed 1988-2017,2026-08-09,https://gco-api.iarc.fr/api/overtime/v2/22/,Free use subject to non-sale/non-commercial or promotional use and acknowledgment,Historical national C73 ASIR segment,INCLUDED_UNDER_SOURCE_TERMS,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59
input_data/Iodine_PublicP3A1_Croatia_Incidence.csv,Croatian Institute of Public Health,Croatian Cancer Registry annual publications,Observed 2018-2023,2026-08-10,https://www.hzjz.hr/sluzba-epidemiologija-prevencija-nezaraznih-bolesti/publikacije-odjel-za-maligne-bolesti/,Official publication attribution required,Aggregate continuation appended with source-era flag,INCLUDED_WITH_ATTRIBUTION,MULTIPLE_UPSTREAM_FILES_SEE_METADATA_MANIFEST
input_data/Iodine_PublicP3B_Mortality_Annual.csv,World Health Organization / IARC,WHO Mortality Database C73,Country-specific observed years through 2024,2026-08-09,https://www.who.int/data/data-collection-tools/who-mortality-database,WHO dataset terms and attribution; no endorsement,Country-year all-sex ASMR extract,INCLUDED_UNDER_SOURCE_TERMS,f709581bba23a7cfb22348b21380d13974662aec2c63196221eea66752418f2a
input_data/Iodine_PublicP3B_Histology_Annual.csv,IARC,CI5plus detailed morphology data,Observed through 2017,2026-08-09,https://ci5.iarc.who.int/ci5plus/download/,Free use subject to non-sale/non-commercial or promotional use and acknowledgment,Country-year aggregate thyroid morphology composition,INCLUDED_UNDER_SOURCE_TERMS,01088fd8e4008f6dc8b7911f0e2d66617c57c3ed268de899c67f5983bc6ce53b
input_data/Iodine_PublicP4F_Figure1_SourceData_DisplayReady.csv,Multiple official policy and UIC sources,FSANZ WHO NZ health and Croatian official-gazette sources,P3A/P4F locked extract,2026-08-10,https://www.foodstandards.gov.au/publications/Iodine-in-bread-report,Source-specific attribution and reuse terms,Small author-curated policy/UIC context table,INCLUDED_WITH_SOURCE_CHAIN,SEE_METADATA_MANIFESTS
input_data/Iodine_PublicP3A1_Australia_Models.csv; input_data/Iodine_PublicP3A1_NewZealand_Models.csv; input_data/Iodine_PublicP3A1_Croatia_Models.csv,Project authors,Locked country-specific ITS outputs,P3A.1 final,2026-08-21,https://github.com/leipeng3255-commits/iodine-policy-thyroid-cancer-its,Upstream input terms retained,Author-generated model outputs used for deterministic verification,INCLUDED_FOR_REPRODUCIBILITY,NOT_APPLICABLE
input_data/Iodine_PublicP3A1_Model_Diagnostics.csv; input_data/Iodine_PublicP3B_Croatia_Splice_Sensitivity.csv,Project authors,Locked diagnostic and sensitivity outputs,P3A.1/P3B final,2026-08-21,https://github.com/leipeng3255-commits/iodine-policy-thyroid-cancer-its,Upstream input terms retained,Author-generated diagnostic and robustness outputs,INCLUDED_FOR_REPRODUCIBILITY,NOT_APPLICABLE
derived_aggregate_data/Figure_1_SourceData.csv,Project authors from official policy/UIC sources,Final Figure 1 source data,P5B.2 final,2026-08-21,https://github.com/leipeng3255-commits/iodine-policy-thyroid-cancer-its,Source-specific upstream terms retained,Display-ready author-created figure data,INCLUDED_FOR_VERIFICATION,NOT_APPLICABLE
