"panel","country","ISO3","year","observed_ASIR_per_100k","fitted_segmented_ASIR_per_100k","fitted_segment","policy_year","primary_break_year","pre_break_slope","post_break_slope","slope_change","slope_change_CI95_low","slope_change_CI95_high","observed_status","projected","pooled_estimate"
"A  Australia","Australia","AUS",1982,2.3,1.32045454545456,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",1983,2.6,1.5596590909091,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",1984,2.5,1.79886363636365,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",1985,2.5,2.03806818181819,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",1986,2.5,2.27727272727274,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",1987,2.7,2.51647727272728,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",1988,2.7,2.75568181818183,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",1989,2.7,2.99488636363637,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",1990,2.9,3.23409090909092,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",1991,3.1,3.47329545454546,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",1992,3.6,3.71250000000001,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",1993,3.5,3.95170454545455,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
"A  Australia","Australia","AUS",1994,3.7,4.1909090909091,"Fitted pre-break trend",2009,2014,0.239204545454545,0.239285714285714,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"OBSERVED","NO","NO"
