"panel","display","country","ISO3","model","latency_years","estimate","CI95_low","CI95_high","role","pooled"
"A","Australia","Australia","AUS","PRIMARY_PLUS5",5,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"PRIMARY +5","NO"
"A","New Zealand","New Zealand","NZL","PRIMARY_PLUS5",5,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"PRIMARY +5","NO"
"A","Croatia","Croatia","HRV","PRIMARY_PLUS5",5,0.218928865314582,0.066213508361624,0.371644222267539,"PRIMARY +5","NO"
"B","Australia  +3","Australia","AUS","LAG3",3,0.0178299120234606,-0.0312066459131856,0.0668664699601068,"EXPLORATORY","NO"
"B","Australia  +5","Australia","AUS","LAG5",5,0.0000811688311689933,-0.0644519859213975,0.0646143235837355,"PRIMARY +5","NO"
"B","Australia  +7","Australia","AUS","LAG7",7,0.01668449197861,-0.0795652548591006,0.112934238816321,"MAIN SENSITIVITY +7","NO"
"B","Australia  +10","Australia","AUS","LAG10",10,-0.0576339497392126,-0.34116957239443,0.225901672916005,"EXPLORATORY","NO"
"B","New Zealand  +3","New Zealand","NZL","LAG3",3,-0.130699300699301,-0.185832688933287,-0.0755659124653147,"EXPLORATORY","NO"
"B","New Zealand  +5","New Zealand","NZL","LAG5",5,-0.14048618048618,-0.194956537225703,-0.0860158237466576,"PRIMARY +5","NO"
"B","New Zealand  +7","New Zealand","NZL","LAG7",7,-0.133809523809524,-0.238929642101393,-0.0286894055176548,"MAIN SENSITIVITY +7","NO"
"B","New Zealand  +10","New Zealand","NZL","LAG10",10,-0.134788441692466,-0.270842812840848,0.00126592945591522,"EXPLORATORY","NO"
"B","Croatia  +3","Croatia","HRV","LAG3",3,0.307537671835448,0.208892864800332,0.406182478870564,"EXPLORATORY","NO"
"B","Croatia  +5","Croatia","HRV","LAG5",5,0.218928865314582,0.066213508361624,0.371644222267539,"PRIMARY +5","NO"
"B","Croatia  +7","Croatia","HRV","LAG7",7,0.237642573001457,0.135821967867013,0.339463178135901,"MAIN SENSITIVITY +7","NO"
"B","Croatia  +10","Croatia","HRV","LAG10",10,0.24432657877987,0.15271534780004,0.3359378097597,"EXPLORATORY","NO"
"B","Croatia  +15","Croatia","HRV","LAG15",15,0.254447701451152,0.127308688689169,0.381586714213134,"EXPLORATORY","NO"
"C","IARC-only 1988-2017","Croatia","HRV","C1_IARC_1988_2017",5,0.192703076732273,0.0357875042109954,0.349618649253551,"CROATIA ROBUSTNESS","NO"
"C","Full series","Croatia","HRV","C2_FULL_1988_2023",5,0.218928865314582,0.066213508361624,0.371644222267539,"CROATIA ROBUSTNESS","NO"
"C","IARC-only 1990-2017","Croatia","HRV","C3_IARC_1990_2017",5,0.117181872017852,-0.0420482312947987,0.276411975330502,"CROATIA ROBUSTNESS","NO"
"C","Source-era level","Croatia","HRV","C4_FULL_SOURCE_ERA_LEVEL",5,0.196769857698702,0.0382412249833748,0.355298490414029,"CROATIA ROBUSTNESS","NO"
"C","Source-era level x time","Croatia","HRV","C5_FULL_SOURCE_ERA_LEVEL_TIME",5,0.192703076732273,0.0326799634777605,0.352726189986786,"CROATIA ROBUSTNESS","NO"
