"country","ISO3","year","outcome","standardized_rate_per_100k","reference_year","reference_rate_per_100k","index_value","calculation","incidence_mortality_ratio_used","pooled_outcome","panel","series","observed_status","projected"
"Australia","AUS",1982,"incidence",2.3,2009,8,28.75,"index = 100 * annual standardized rate / standardized rate in country-specific policy year","NO","NO","A  Australia","Incidence index","OBSERVED","NO"
"Australia","AUS",1983,"incidence",2.6,2009,8,32.5,"index = 100 * annual standardized rate / standardized rate in country-specific policy year","NO","NO","A  Australia","Incidence index","OBSERVED","NO"
"Australia","AUS",1984,"incidence",2.5,2009,8,31.25,"index = 100 * annual standardized rate / standardized rate in country-specific policy year","NO","NO","A  Australia","Incidence index","OBSERVED","NO"
"Australia","AUS",1985,"incidence",2.5,2009,8,31.25,"index = 100 * annual standardized rate / standardized rate in country-specific policy year","NO","NO","A  Australia","Incidence index","OBSERVED","NO"
"Australia","AUS",1986,"incidence",2.5,2009,8,31.25,"index = 100 * annual standardized rate / standardized rate in country-specific policy year","NO","NO","A  Australia","Incidence index","OBSERVED","NO"
"Australia","AUS",1987,"incidence",2.7,2009,8,33.75,"index = 100 * annual standardized rate / standardized rate in country-specific policy year","NO","NO","A  Australia","Incidence index","OBSERVED","NO"
"Australia","AUS",1988,"incidence",2.7,2009,8,33.75,"index = 100 * annual standardized rate / standardized rate in country-specific policy year","NO","NO","A  Australia","Incidence index","OBSERVED","NO"
"Australia","AUS",1989,"incidence",2.7,2009,8,33.75,"index = 100 * annual standardized rate / standardized rate in country-specific policy year","NO","NO","A  Australia","Incidence index","OBSERVED","NO"
"Australia","AUS",1990,"incidence",2.9,2009,8,36.25,"index = 100 * annual standardized rate / standardized rate in country-specific policy year","NO","NO","A  Australia","Incidence index","OBSERVED","NO"
"Australia","AUS",1991,"incidence",3.1,2009,8,38.75,"index = 100 * annual standardized rate / standardized rate in country-specific policy year","NO","NO","A  Australia","Incidence index","OBSERVED","NO"
"Australia","AUS",1992,"incidence",3.6,2009,8,45,"index = 100 * annual standardized rate / standardized rate in country-specific policy year","NO","NO","A  Australia","Incidence index","OBSERVED","NO"
"Australia","AUS",1993,"incidence",3.5,2009,8,43.75,"index = 100 * annual standardized rate / standardized rate in country-specific policy year","NO","NO","A  Australia","Incidence index","OBSERVED","NO"
"Australia","AUS",1994,"incidence",3.7,2009,8,46.25,"index = 100 * annual standardized rate / standardized rate in country-specific policy year","NO","NO","A  Australia","Incidence index","OBSERVED","NO"
"Australia","AUS",1995,"incidence",4.1,2009,8,51.25,"index = 100 * annual standardized rate / standardized rate in country-specific policy year","NO","NO","A  Australia","Incidence index","OBSERVED","NO"
