"panel","country","ISO3","year","subtype","proportion_percent","unspecified_explicit"
"A  Australia","Australia","AUS",1993,"PTC",69.4690265486726,"YES"
"A  Australia","Australia","AUS",1994,"PTC",72.5651577503429,"YES"
"A  Australia","Australia","AUS",1995,"PTC",71.1822660098522,"YES"
"A  Australia","Australia","AUS",1996,"PTC",71.6022099447514,"YES"
"A  Australia","Australia","AUS",1997,"PTC",73.7268518518518,"YES"
"A  Australia","Australia","AUS",1998,"PTC",75.4545454545455,"YES"
"A  Australia","Australia","AUS",1999,"PTC",73.8354806739346,"YES"
"A  Australia","Australia","AUS",2000,"PTC",73.8432483474976,"YES"
"A  Australia","Australia","AUS",2001,"PTC",74.6877601998335,"YES"
"A  Australia","Australia","AUS",2002,"PTC",75.1235584843493,"YES"
"A  Australia","Australia","AUS",2003,"PTC",77.2823779193206,"YES"
"A  Australia","Australia","AUS",2004,"PTC",78.1479013990673,"YES"
"A  Australia","Australia","AUS",2005,"PTC",78.5492870427774,"YES"
"A  Australia","Australia","AUS",2006,"PTC",77.3744706594071,"YES"
"A  Australia","Australia","AUS",2007,"PTC",79.1245791245791,"YES"
"A  Australia","Australia","AUS",2008,"PTC",79.4205794205794,"YES"
"A  Australia","Australia","AUS",2009,"PTC",78.4019370460048,"YES"
"A  Australia","Australia","AUS",2010,"PTC",82.5382932166302,"YES"
"A  Australia","Australia","AUS",2011,"PTC",80.3823773898587,"YES"
"A  Australia","Australia","AUS",2012,"PTC",81.7570241392956,"YES"
"A  Australia","Australia","AUS",2013,"PTC",83.2494608195543,"YES"
"A  Australia","Australia","AUS",2014,"PTC",83.1941544885177,"YES"
"A  Australia","Australia","AUS",2015,"PTC",83.7318962613675,"YES"
"A  Australia","Australia","AUS",2016,"PTC",83.3166833166833,"YES"
"A  Australia","Australia","AUS",2017,"PTC",83.0259456080025,"YES"
"B  New Zealand","New Zealand","NZL",2001,"PTC",80.9859154929577,"YES"
"B  New Zealand","New Zealand","NZL",2002,"PTC",67.7631578947368,"YES"
"B  New Zealand","New Zealand","NZL",2003,"PTC",70.0534759358289,"YES"
"B  New Zealand","New Zealand","NZL",2004,"PTC",76.4397905759162,"YES"
"B  New Zealand","New Zealand","NZL",2005,"PTC",79.0419161676647,"YES"
"B  New Zealand","New Zealand","NZL",2006,"PTC",71.4912280701754,"YES"
"B  New Zealand","New Zealand","NZL",2007,"PTC",77.3809523809524,"YES"
"B  New Zealand","New Zealand","NZL",2008,"PTC",76.6949152542373,"YES"
"B  New Zealand","New Zealand","NZL",2009,"PTC",73.3333333333333,"YES"
"B  New Zealand","New Zealand","NZL",2010,"PTC",73.4615384615385,"YES"
"B  New Zealand","New Zealand","NZL",2011,"PTC",77.3584905660377,"YES"
"B  New Zealand","New Zealand","NZL",2012,"PTC",71.7391304347826,"YES"
"B  New Zealand","New Zealand","NZL",2013,"PTC",79.4612794612795,"YES"
"B  New Zealand","New Zealand","NZL",2014,"PTC",79.5379537953795,"YES"
"B  New Zealand","New Zealand","NZL",2015,"PTC",79.047619047619,"YES"
"B  New Zealand","New Zealand","NZL",2016,"PTC",79.6657381615599,"YES"
"B  New Zealand","New Zealand","NZL",2017,"PTC",80.9815950920245,"YES"
"A  Australia","Australia","AUS",1993,"FTC",18.141592920354,"YES"
"A  Australia","Australia","AUS",1994,"FTC",16.7352537722908,"YES"
"A  Australia","Australia","AUS",1995,"FTC",20.5665024630542,"YES"
"A  Australia","Australia","AUS",1996,"FTC",18.232044198895,"YES"
"A  Australia","Australia","AUS",1997,"FTC",17.5925925925926,"YES"
"A  Australia","Australia","AUS",1998,"FTC",15.5555555555556,"YES"
"A  Australia","Australia","AUS",1999,"FTC",16.5510406342914,"YES"
"A  Australia","Australia","AUS",2000,"FTC",16.4305949008499,"YES"
"A  Australia","Australia","AUS",2001,"FTC",17.0691090757702,"YES"
"A  Australia","Australia","AUS",2002,"FTC",15.8978583196046,"YES"
"A  Australia","Australia","AUS",2003,"FTC",15.4989384288747,"YES"
"A  Australia","Australia","AUS",2004,"FTC",14.257161892072,"YES"
"A  Australia","Australia","AUS",2005,"FTC",15.1270923744575,"YES"
"A  Australia","Australia","AUS",2006,"FTC",14.821536600121,"YES"
"A  Australia","Australia","AUS",2007,"FTC",14.5342312008979,"YES"
"A  Australia","Australia","AUS",2008,"FTC",14.1858141858142,"YES"
"A  Australia","Australia","AUS",2009,"FTC",15.3026634382567,"YES"
