country,ISO3,year,sex,registry_count,registry_scope,total_thyroid_cases,papillary_cases,follicular_cases,medullary_cases,anaplastic_cases,specified_other_cases,unspecified_cases,component_sum,reconciles_to_total,PTC_proportion_percent,FTC_proportion_percent,MTC_proportion_percent,ATC_proportion_percent,other_specified_proportion_percent,unspecified_proportion_percent,PTC_FTC_ratio,analytic_era,era_quality,fixed_break_model_eligible,primary_latency_break,denominator_status,microscopic_verification,source,source_url
Australia,AUS,1978,both,2,stable_subnational_composite,43,23,7,2,3,3,5,43,YES,53.48837209302326,16.27906976744186,4.651162790697675,6.976744186046512,6.976744186046512,11.627906976744185,3.2857142857142856,1978-1982_TWO_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1978,female,2,stable_subnational_composite,30,14,6,2,2,1,5,30,YES,46.666666666666664,20.0,6.666666666666667,6.666666666666667,3.3333333333333335,16.666666666666668,2.3333333333333335,1978-1982_TWO_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1978,male,2,stable_subnational_composite,13,9,1,0,1,2,0,13,YES,69.23076923076923,7.6923076923076925,0.0,7.6923076923076925,15.384615384615385,0.0,9.0,1978-1982_TWO_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1979,both,2,stable_subnational_composite,40,24,8,0,1,3,4,40,YES,60.0,20.0,0.0,2.5,7.5,10.0,3.0,1978-1982_TWO_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1979,female,2,stable_subnational_composite,30,16,8,0,0,3,3,30,YES,53.333333333333336,26.666666666666668,0.0,0.0,10.0,10.0,2.0,1978-1982_TWO_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1979,male,2,stable_subnational_composite,10,8,0,0,1,0,1,10,YES,80.0,0.0,0.0,10.0,0.0,10.0,,1978-1982_TWO_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1980,both,2,stable_subnational_composite,46,26,12,2,2,2,2,46,YES,56.52173913043478,26.08695652173913,4.3478260869565215,4.3478260869565215,4.3478260869565215,4.3478260869565215,2.1666666666666665,1978-1982_TWO_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1980,female,2,stable_subnational_composite,38,23,9,1,1,2,2,38,YES,60.526315789473685,23.68421052631579,2.6315789473684212,2.6315789473684212,5.2631578947368425,5.2631578947368425,2.5555555555555554,1978-1982_TWO_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1980,male,2,stable_subnational_composite,8,3,3,1,1,0,0,8,YES,37.5,37.5,12.5,12.5,0.0,0.0,1.0,1978-1982_TWO_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1981,both,2,stable_subnational_composite,49,30,14,1,2,2,0,49,YES,61.224489795918366,28.571428571428573,2.0408163265306123,4.081632653061225,4.081632653061225,0.0,2.142857142857143,1978-1982_TWO_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1981,female,2,stable_subnational_composite,30,18,9,1,1,1,0,30,YES,60.0,30.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.0,2.0,1978-1982_TWO_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1981,male,2,stable_subnational_composite,19,12,5,0,1,1,0,19,YES,63.1578947368421,26.31578947368421,0.0,5.2631578947368425,5.2631578947368425,0.0,2.4,1978-1982_TWO_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
