country,ISO3,year,sex,C73_deaths,population,ASMR_per_100k,standard_population,mortality_quality,primary_latency_break,observed_status,source,source_url,analysis_role
Australia,AUS,1998,both,66,18711271.0,0.22381819,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,1999,both,81,18925855.0,0.24535633,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2000,both,90,19153380.0,0.29080783,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2001,both,88,19413240.0,0.26431864,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2002,both,100,19666322.0,0.29088512,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2003,both,86,19872646.0,0.23030441,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2004,both,93,20132756.0,0.26093436,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2006,both,114,20394791.0,0.29401274,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2007,both,105,21072452.0,0.25557076,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2008,both,105,21498540.0,0.2588836,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2009,both,129,21951736.0,0.30070414,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2010,both,115,22297515.0,0.25558862,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2011,both,117,22340024.0,0.27344595,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2012,both,126,22728254.0,0.2664733,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2013,both,133,23117353.0,0.29136803,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2014,both,133,23504138.0,0.27249691,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2015,both,146,23815995.0,0.28764979,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2016,both,140,24190907.0,0.28026146,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2017,both,143,24594202.0,0.27948981,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2018,both,151,24963258.0,0.27158176,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2019,both,144,25334826.0,0.26504934,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2020,both,113,25649248.0,0.19265779,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2021,both,154,25685412.0,0.24563621,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2022,both,164,26005540.0,0.26177712,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2023,both,191,26638544.0,0.3057399,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,2024,both,149,27204809.0,0.21233574,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Australia,AUS,1998,female,29,9416597.0,0.16952989,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,1999,female,45,9529307.0,0.22909499,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2000,female,50,9648049.0,0.2898495,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2001,female,54,9782588.0,0.29649795,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2002,female,64,9899331.0,0.33525776,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2003,female,44,9999199.0,0.19452182,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2004,female,51,10133857.0,0.23991306,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2006,female,64,10266727.0,0.28050301,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2007,female,64,10596925.0,0.27851368,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2008,female,60,10802417.0,0.25793506,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2009,female,79,11021373.0,0.34045447,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2010,female,77,11197271.0,0.31614592,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2011,female,72,11221790.0,0.30363744,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
