country,source_institution,dataset,version,publication_date,download_date,last_observed_year,URL,license_access_statement,local_filename,SHA256,national_coverage,observed_or_projected,notes
Australia,Australian Institute of Health and Welfare,CdiA 2025 Book 1a / ACD 2021,October 2025 workbook; website refreshed July 2026,2025-10,2026-08-10,2021,https://www.aihw.gov.au/getmedia/871e40d3-bab0-4cb9-b876-0152d2efc2c7/CDiA-2025-Book-1a-Cancer-incidence-age-standardised-rates-5-year-age-groups.xlsx,AIHW copyright and attribution terms; public download,public_p3a1_data/raw/AIHW_CDiA_2025_Book_1a.xlsx,5bde841887c8042d9053712693cd66f1def5948fea60ffca480c6e3195ce508f,Complete national ACD,OBSERVED_ROWS_1982_2021_ONLY,Workbook also contains 2022-2025 projections; build code hard-excludes them.
Australia,Australian Institute of Health and Welfare,Cancer data in Australia data-page capture,14 July 2026 page,2026-07-14,2026-08-10,2021,https://www.aihw.gov.au/reports/cancer/cancer-data-in-australia/data,AIHW public website,public_p3a1_data/raw/AIHW_CancerDataInAustralia_Data_2026-08-10.html,05e6fd03d82152bcd9af68de65a43c42980691c80b94a7c2503c06190eb86b96,National metadata,METADATA,Documents the ACD raw-data workbook and current release context.
New Zealand,Health New Zealand / Te Whatu Ora,Cancer data web tool C73 registrations,Version published 04 June 2026; registration extract 30 Sep 2025,2026-06-04,2026-08-10,2023,https://tewhatuora.shinyapps.io/cancer-web-tool/,Creative Commons Attribution 4.0 stated in tool,public_p3a1_data/raw/HealthNZ_NZCR_Thyroid_registrations_rate.csv,0cfba5bb109e761fbfe18e8f735ad4210f7cd5597e2ef730ff48f0bdd514f806,National New Zealand Cancer Registry,OBSERVED,"Official session-generated CSV; includes annual number, WHO ASIR and population count."
New Zealand,Health New Zealand / Te Whatu Ora,Cancer data web tool C73 deaths,Version published 04 June 2026; mortality extract 13 Apr 2026,2026-06-04,2026-08-10,2023,https://tewhatuora.shinyapps.io/cancer-web-tool/,Creative Commons Attribution 4.0 stated in tool,public_p3a1_data/raw/HealthNZ_NZCR_Thyroid_deaths_rate.csv,3ea0974ba24c0aa8b521e2dbffc7f28776ecac23da875eb5591a5d94f1291dd8,National Mortality Collection,OBSERVED,2022 provisional and 2023 preliminary per tool; descriptive triangulation only.
Croatia,Croatian Institute of Public Health (HZJZ),2017 incidence bulletin,Registry year 2017,2019,2026-08-10,2017,https://www.hzjz.hr/sluzba-epidemiologija-prevencija-nezaraznih-bolesti/publikacije-odjel-za-maligne-bolesti/,Official public-health publication; citation/attribution required,public_p3a1_data/raw/HRV_Bilten-2017-final.pdf,e7de7a5c0f93b11fdb8ada6c7c485f0ae43f7f65918476972c4172bf0ed4c460,National Croatian Cancer Registry,OBSERVED,C73 national observed counts/rates; no GLOBOCAN estimate used.
Croatia,Croatian Institute of Public Health (HZJZ),2018 incidence bulletin,Registry year 2018,2020,2026-08-10,2018,https://www.hzjz.hr/sluzba-epidemiologija-prevencija-nezaraznih-bolesti/publikacije-odjel-za-maligne-bolesti/,Official public-health publication; citation/attribution required,public_p3a1_data/raw/HRV_Bilten_2018_final.pdf,521f1dd5c4b8165cb44707d35b6bb82e296523d02a257d54704df6b7a0ac1cf2,National Croatian Cancer Registry,OBSERVED,C73 national observed counts/rates; no GLOBOCAN estimate used.
Croatia,Croatian Institute of Public Health (HZJZ),2019 incidence bulletin,Registry year 2019,2021,2026-08-10,2019,https://www.hzjz.hr/sluzba-epidemiologija-prevencija-nezaraznih-bolesti/publikacije-odjel-za-maligne-bolesti/,Official public-health publication; citation/attribution required,public_p3a1_data/raw/HRV_Bilten_2019.pdf,254ed3be4892335e5d3ad7212db03ef8271025a2fbc6db1b6a862b92a048879f,National Croatian Cancer Registry,OBSERVED,C73 national observed counts/rates; no GLOBOCAN estimate used.
Croatia,Croatian Institute of Public Health (HZJZ),2020 incidence bulletin,Registry year 2020,2022,2026-08-10,2020,https://www.hzjz.hr/sluzba-epidemiologija-prevencija-nezaraznih-bolesti/publikacije-odjel-za-maligne-bolesti/,Official public-health publication; citation/attribution required,public_p3a1_data/raw/HRV_Bilten-Incidencija-raka-u-Hrvatskoj-2020.-godine.pdf,48944f9ac35e6b7b38dccf913aca7e286ed6a34d1c8ffdc32e6239bfac0f9d33,National Croatian Cancer Registry,OBSERVED,C73 national observed counts/rates; no GLOBOCAN estimate used.
Croatia,Croatian Institute of Public Health (HZJZ),2021 detailed registry tables,Registry year 2021,2024-02,2026-08-10,2021,https://www.hzjz.hr/sluzba-epidemiologija-prevencija-nezaraznih-bolesti/publikacije-odjel-za-maligne-bolesti/,Official public-health publication; citation/attribution required,public_p3a1_data/raw/HRV_Podaci-RzR-2021_ver1.0-1.xlsx,8f0169aa82512aabebb6758cfbe7ffcd6b8565960d7a1906f90f14c35ace1da6,National Croatian Cancer Registry,OBSERVED,C73 national observed counts/rates; no GLOBOCAN estimate used.
Croatia,Croatian Institute of Public Health (HZJZ),2022 detailed registry tables,Registry year 2022,2024-12,2026-08-10,2022,https://www.hzjz.hr/sluzba-epidemiologija-prevencija-nezaraznih-bolesti/publikacije-odjel-za-maligne-bolesti/,Official public-health publication; citation/attribution required,public_p3a1_data/raw/HRV_Podaci-RzR-2022_ver1.0.xlsx,1d2c0a6b85bba55247add4b60a155256edfd1d566439f724769a7f7604b49e10,National Croatian Cancer Registry,OBSERVED,C73 national observed counts/rates; no GLOBOCAN estimate used.
Croatia,Croatian Institute of Public Health (HZJZ),2023 detailed registry tables,Registry year 2023,2025-12,2026-08-10,2023,https://www.hzjz.hr/sluzba-epidemiologija-prevencija-nezaraznih-bolesti/publikacije-odjel-za-maligne-bolesti/,Official public-health publication; citation/attribution required,public_p3a1_data/raw/HRV_Podaci-RzR-2023_ver1.0-3.xlsx,a80cb2a429d3fbc0f211c59a7cc27514cbff431899073fcdd1aaa497ddf23957,National Croatian Cancer Registry,OBSERVED,C73 national observed counts/rates; no GLOBOCAN estimate used.
Australia; New Zealand,FSANZ,Iodine fortification monitoring report,2016 report,various,2026-08-10,2016,https://www.foodstandards.gov.au/sites/default/files/publications/Documents/Iodine%20Fortification%20Monitoring%20Report.pdf,Official/open research use subject to source terms,public_p3a_data/raw/FSANZ_Iodine_Fortification_Monitoring_Report.pdf,b76d131ddc377d09fb5784e90b0a476bb0ce562df38532a8bbf14b05d37c12f8,See row notes/source audit,OBSERVED_OR_POLICY_METADATA,Iodine policy timing
Croatia,Narodne novine,NN 84/1996 salt iodisation regulation,NN 84/1996,various,2026-08-10,1996,https://narodne-novine.nn.hr/eli/sluzbeni/1996/84/1503,Official/open research use subject to source terms,public_p3a_data/raw/Croatia_NN_84_1996_Salt_Iodisation.html,3ca2048510ea68769355740a0cf112eb161d912a3c83fe279768d86b63236ebf,See row notes/source audit,OBSERVED_OR_POLICY_METADATA,Iodine policy timing
Australia; Croatia,WHO VMNIS and primary-source audit,School-age UIC episode audit,P2.75 locked,various,2026-08-10,2019,https://platform.who.int/nutrition/micronutrients-database/search-by-micronutrient,Official/open research use subject to source terms,Iodine_PublicP275_UIC_Source_DeepQC.csv,0dcfb6bcc96261bf3dda27a81d89978e16f7d70fec20dc44589f0d0be976bb9b,See row notes/source audit,OBSERVED_OR_POLICY_METADATA,UIC biological validation
Australia; New Zealand; Croatia,WHO,WHO Mortality Database C73 ASMR extract,February 2026 download,various,2026-08-10,2024,https://www.who.int/data/data-collection-tools/who-mortality-database,Official/open research use subject to source terms,Iodine_PublicP275_WHO_Mortality_ASMR.csv,f709581bba23a7cfb22348b21380d13974662aec2c63196221eea66752418f2a,See row notes/source audit,OBSERVED_OR_POLICY_METADATA,Mortality triangulation
Australia; New Zealand; Croatia,IARC,CI5plus thyroid morphology extract,P2.75 locked,various,2026-08-10,2017,https://ci5.iarc.who.int/ci5plus/download/,Official/open research use subject to source terms,public_p25_data/iarc_histology_registry_year_sex.json,01088fd8e4008f6dc8b7911f0e2d66617c57c3ed268de899c67f5983bc6ce53b,See row notes/source audit,OBSERVED_OR_POLICY_METADATA,Histology triangulation
