country,domain,source,dataset,version,download_date,URL,license,raw_file,SHA256,time_coverage,geographic_scope,notes
Australia;New Zealand,iodine policy,FSANZ,Iodine fortification monitoring report,2016 report,2026-08-09,https://www.foodstandards.gov.au/sites/default/files/publications/Documents/Iodine%20Fortification%20Monitoring%20Report.pdf,FSANZ copyright; research citation,public_p3a_data/raw/FSANZ_Iodine_Fortification_Monitoring_Report.pdf,b76d131ddc377d09fb5784e90b0a476bb0ce562df38532a8bbf14b05d37c12f8,2009-2016,Australia and New Zealand,Official implementation dates and formulation.
Croatia,iodine policy,Narodne novine,NN 84/1996 salt iodisation regulation,NN 84/1996,2026-08-09,https://narodne-novine.nn.hr/eli/sluzbeni/1996/84/1503,Croatian official legislation,public_p3a_data/raw/Croatia_NN_84_1996_Salt_Iodisation.html,3ca2048510ea68769355740a0cf112eb161d912a3c83fe279768d86b63236ebf,1996,national,Official effective date and KI-equivalent range.
Australia,UIC,WHO VMNIS plus primary-source audit,NINS 2003-04 and AHS 2011-12,P2.75 locked extract,2026-08-09,https://platform.who.int/nutrition/micronutrients-database/search-by-micronutrient,WHO data terms; underlying source copyrights,Iodine_PublicP275_UIC_Source_DeepQC.csv,0dcfb6bcc96261bf3dda27a81d89978e16f7d70fec20dc44589f0d0be976bb9b,2003-2012,broad national/national,UIC points retained without interpolation.
New Zealand,UIC,PMC,2002 child iodine analysis,PMC3422176,2026-08-09,https://pmc.ncbi.nlm.nih.gov/articles/PMC3422176/,Open-access article terms,public_p3a_data/raw/NZ_2002_Children_UIC_PMC.html,79ade6347b62cda997c1db918466b6344f2a6853aabf74debd8b6a9c2cacc659,2002,urban UIC subset,Child pre-policy supportive point.
New Zealand,UIC,New Zealand Ministry of Health,Biomedical results 2014/15 NZ Health Survey,2016,NOT_DOWNLOADED_LANDING_PAGE_VERIFIED,https://www.health.govt.nz/publications/biomedical-results-201415-new-zealand-health-survey,NZ Government copyright,,,2014-2015,national,Official landing page verified; direct PDF was bot-blocked and is not represented as downloaded.
New Zealand,UIC,PMC,2015 child iodine survey,PMC4882711,2026-08-09,https://pmc.ncbi.nlm.nih.gov/articles/PMC4882711/,CC BY,public_p3a_data/raw/NZ_2015_Children_UIC_PMC.html,09392f9e91064f6bbc4c7a82f6b325676463ca21f40337476fb277e59b257df2,2015,Auckland and Christchurch,Selected-city supportive point.
Croatia,UIC,WHO VMNIS plus P2.75 source audit,"2002, 2009, 2014-19 school UIC surveys",P2.75 locked extract,2026-08-09,https://platform.who.int/nutrition/micronutrients-database/search-by-micronutrient,WHO data terms; underlying source copyrights,Iodine_PublicP275_UIC_Source_DeepQC.csv,0dcfb6bcc96261bf3dda27a81d89978e16f7d70fec20dc44589f0d0be976bb9b,2002-2019,four major regions,No clean pre-1996 national UIC.
Australia,thyroid-cancer incidence,IARC Cancer Over Time,C73 national incidence,API v2/22 retrieved P2.5,2026-08-09,https://gco-api.iarc.fr/api/overtime/v2/22/,IARC non-commercial research/citation terms,public_p25_data/iarc_cot/thyroid_incidence_01.json,e1641064038fcaa4cc3408135b9e749cf9872b6b2bcdfc01cc63f0376abd1fd2,1993-2017,national 100%,Observed recorded incidence; not AIHW projections.
New Zealand,thyroid-cancer incidence,IARC Cancer Over Time,C73 national incidence,API v2/22 retrieved P2.5,2026-08-09,https://gco-api.iarc.fr/api/overtime/v2/22/,IARC non-commercial research/citation terms,public_p25_data/iarc_cot/thyroid_incidence_07.json,c339c67c8f31f69bbf2aaf6140d5c1669424e5f17a1ed9432922550583046bdc,1983-2017,national 100%,Observed recorded incidence.
Croatia,thyroid-cancer incidence,IARC Cancer Over Time,C73 national incidence,API v2/22 retrieved P2.5,2026-08-09,https://gco-api.iarc.fr/api/overtime/v2/22/,IARC non-commercial research/citation terms,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,1988-2017,national 100%,Observed recorded incidence.
