domain,source,dataset,version,access_date,URL,license_access,local_file,SHA256,evidence_role,verification_status
P3A1_LOCKED_INPUT,Local source-locked project input,Iodine_PublicP3A1_Lag_Sensitivity.csv,as locked before P3B,2026-08-10,see embedded source_url columns,public aggregate data; source attribution required,Iodine_PublicP3A1_Lag_Sensitivity.csv,2ca101ebefc68107c53a99b84901bbfbd06a37dab08e4aee8a92c1584fe766c9,Locked primary/lag estimates,LOCAL_VERIFIED
P3A1_LOCKED_INPUT,Local source-locked project input,Iodine_PublicP3A1_Model_Diagnostics.csv,as locked before P3B,2026-08-10,see embedded source_url columns,public aggregate data; source attribution required,Iodine_PublicP3A1_Model_Diagnostics.csv,228c21163e1f9997d4bb6c9ea3277b89364c6e9b7b604c18f0a75a50f55db128,Locked serial-correlation diagnostics,LOCAL_VERIFIED
INCIDENCE,Local source-locked project input,Iodine_PublicP3A1_Croatia_Incidence.csv,as locked before P3B,2026-08-10,see embedded source_url columns,public aggregate data; source attribution required,Iodine_PublicP3A1_Croatia_Incidence.csv,2ce0fe3a48dab00d81763d4d06ef430dd1df4fa8f215cf4573d7fdd1e7914ada,Croatia IARC/HZJZ source-era stress test,LOCAL_VERIFIED
HISTOLOGY,Local source-locked project input,Iodine_PublicP25_Histology_Quality.csv,as locked before P3B,2026-08-10,see embedded source_url columns,public aggregate data; source attribution required,Iodine_PublicP25_Histology_Quality.csv,501a86a2d389f8cbe8f04a11cab06f07e77efb267e8d97d938fa6a0eb32a5c81,IARC CI5plus exhaustive morphology categories,OFFICIAL_IARC_DERIVED
MORTALITY,Local source-locked project input,Iodine_PublicP275_WHO_Mortality_ASMR.csv,as locked before P3B,2026-08-10,see embedded source_url columns,public aggregate data; source attribution required,Iodine_PublicP275_WHO_Mortality_ASMR.csv,f709581bba23a7cfb22348b21380d13974662aec2c63196221eea66752418f2a,Observed WHO national C73 mortality,OFFICIAL_WHO_DERIVED
NZ_MORTALITY,Local source-locked project input,public_p3a1_data/raw/HealthNZ_NZCR_Thyroid_deaths_rate.csv,as locked before P3B,2026-08-10,see embedded source_url columns,public aggregate data; source attribution required,public_p3a1_data/raw/HealthNZ_NZCR_Thyroid_deaths_rate.csv,3ea0974ba24c0aa8b521e2dbffc7f28776ecac23da875eb5591a5d94f1291dd8,Current observed national mortality through 2023,OFFICIAL_HEALTHNZ
CONTEXT_INCIDENCE,Local source-locked project input,Iodine_PublicP25_ThyroidCancer_Observed.csv,as locked before P3B,2026-08-10,see embedded source_url columns,public aggregate data; source attribution required,Iodine_PublicP25_ThyroidCancer_Observed.csv,040aa9bfa0379b7b86922fe756c53bfcbcb0d60453d47ce54d4fe1bc8ab54380,IARC observed context-country incidence,OFFICIAL_IARC_DERIVED
HISTOLOGY_RAW,Local source-locked project input,public_p25_data/iarc_histology_registry_year_sex.json,as locked before P3B,2026-08-10,see embedded source_url columns,public aggregate data; source attribution required,public_p25_data/iarc_histology_registry_year_sex.json,01088fd8e4008f6dc8b7911f0e2d66617c57c3ed268de899c67f5983bc6ce53b,Source-level CI5plus morphology aggregation,OFFICIAL_IARC_RAW_DERIVED
DIAGNOSTIC_OR_INTERPRETATION_SOURCE,Official/peer-reviewed source capture,PubMed_P3B_records.xml,current page or PubMed record at access,2026-08-10,"https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=11916283,39869269,25597380,26058240,33662333,18709046,33512656,32984898,28513893,16886965,22337133&retmode=xml",public web access; publisher/source terms apply,public_p3b_data/raw_sources/PubMed_P3B_records.xml,3d778b5d11db54726ed7400ae8b4f513e8c5e016313f1871a0b56b7ee3769f03,"Diagnostic timeline, coding, histotype, or context verification",DOWNLOADED_VERIFIED
DIAGNOSTIC_OR_INTERPRETATION_SOURCE,Official/peer-reviewed source capture,WHO_Croatia_Health_System_1999.html,current page or PubMed record at access,2026-08-10,https://eurohealthobservatory.who.int/publications/i/croatia-health-system-review-1999,public web access; publisher/source terms apply,public_p3b_data/raw_sources/WHO_Croatia_Health_System_1999.html,15817a2196760804da50a06e6ba461e17d3b64d8eb70a372fee491a0330fc8f6,"Diagnostic timeline, coding, histotype, or context verification",DOWNLOADED_VERIFIED
